Class,Method/Variable,Inferred Type,Original Type,Source Code,Comments
[s]User,new_from_params,"({ name: XXX, email: XXX, password: XXX, username: XXX }) -> XXX","({ name: String, email: String, password: String, username: String }) -> User","def self.new_from_params(params)
    user = User.new
    user.name = params[:name]
    user.email = params[:email]
    user.password = params[:password]
    user.username = params[:username]
    user
  end"
[s]User,find_by_username,(String) -> User,(String) -> User,"def self.find_by_username(username)
    find_by(username_lower: normalize_username(username))
  end"
[s]User,username_available?,"(String, ?[ present?: () -> XXX ], { allow_reserved_username: ?[ !: () -> XXX ] }) -> (false or true)","(String, ?String) -> (false or true)","def self.username_available?(username, email = nil, allow_reserved_username: false)
    lower = normalize_username(username)
    return false if !allow_reserved_username && reserved_username?(lower)
    return true  if !username_exists?(lower)

    # staged users can use the same username since they will take over the account
    email.present? && User.joins(:user_emails).exists?(staged: true, username_lower: lower, user_emails: { primary: true, email: email })
  end"
[s]User,reserved_username?,(String) -> (false or true),(String) -> (false or true),"def self.reserved_username?(username)
    username = normalize_username(username)

    SiteSetting.reserved_usernames.unicode_normalize.split(""|"").any? do |reserved|
      username.match?(/^#{Regexp.escape(reserved).gsub('\*', '.*')}$/)
    end
  end"
User,featured_user_badges,(?Number) -> Array<(Badge or BadgeType or GrantedBy or Post or Topic or User or UserBadge)>,(?Number) -> %any,"def featured_user_badges(limit = 3)
    tl_badge_ids = Badge.trust_level_badge_ids

    query = user_badges
      .group(:badge_id)
      .select(UserBadge.attribute_names.map { |x| ""MAX(user_badges.#{x}) AS #{x}"" },
                      'COUNT(*) AS ""count""',
                      'MAX(badges.badge_type_id) AS badges_badge_type_id',
                      'MAX(badges.grant_count) AS badges_grant_count')
      .joins(:badge)
      .order('badges_badge_type_id ASC, badges_grant_count ASC, badge_id DESC')
      .includes(:user, :granted_by, { badge: :badge_type }, post: :topic)

    tl_badge = query.where(""user_badges.badge_id IN (:tl_badge_ids)"",
                           tl_badge_ids: tl_badge_ids)
      .limit(1)

    other_badges = query.where(""user_badges.badge_id NOT IN (:tl_badge_ids)"",
                               tl_badge_ids: tl_badge_ids)
      .limit(limit)

    (tl_badge + other_badges).take(limit)
  end"
User,email_confirmed?,() -> (false or true),() -> (false or true),"def email_confirmed?
    email_tokens.where(email: email, confirmed: true).present? ||
    email_tokens.empty? ||
    single_sign_on_record&.external_email == email
  end"
User,activate,() -> XXX,() -> (false or nil or true),"def activate
    if email_token = self.email_tokens.active.where(email: self.email).first
      user = EmailToken.confirm(email_token.token, skip_reviewable: true)
    end
    self.update!(active: true)
    create_reviewable
  end"
User,number_of_deleted_posts,() -> Number,() -> Number,"def number_of_deleted_posts
    Post.with_deleted
      .where(user_id: self.id)
      .where.not(deleted_at: nil)
      .count
  end"
User,number_of_flags_given,() -> Number,() -> Number,"def number_of_flags_given
    PostAction.where(user_id: self.id)
      .where(disagreed_at: nil)
      .where(post_action_type_id: PostActionType.notify_flag_type_ids)
      .count
  end"
User,create_user_profile,() -> UserProfile,() -> UserProfile,"def create_user_profile
    UserProfile.create!(user_id: id)
  end"
